Splits	Weights	GRASSLEY_C_Rep	LEAHY_P_Dem	MARKEY_E_Dem	ROBERTS_C_Rep	SCHUMER_C_Dem	WYDEN_R_Dem	McCONNELL_A_Rep	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	INHOFE_J_Rep	BOOZMAN_J_Rep	CAPITO_S_Rep	VAN_HOLLEN_C_Dem	BLACKBURN_M_Rep	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	CASSIDY_B_Rep	PETERS_G_Dem	HEINRICH_M_Dem	GARDNER_C_Rep	YOUNG_T_Rep	LANKFORD_J_Rep	SCOTT_T_Rep	SINEMA_K_Dem	COTTON_T_Rep	DUCKWORTH_T_Dem	DAINES_S_Rep	CRAMER_K_Rep	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	CRAPO_M_Rep	MENENDEZ_R_Dem	PORTMAN_R_Rep	BROWN_S_Dem	WICKER_R_Rep	BURR_R_Rep	GRAHAM_L_Rep	MORAN_J_Rep	STABENOW_D_Dem	BLUNT_R_Rep	THUNE_J_Rep	UDALL_T_Dem	TOOMEY_P_Rep	BALDWIN_T_Dem	CANTWELL_M_Dem	MURKOWSKI_L_Rep	ALEXANDER_L_Rep	CORNYN_J_Rep	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	BARRASSO_J_Rep	RISCH_J_Rep	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	RUBIO_M_Rep	PAUL_R_Rep	HOEVEN_J_Rep	LEE_M_Rep	JOHNSON_R_Rep	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	FISCHER_D_Rep	CRUZ_R_Rep	KAINE_T_Dem	BOOKER_C_Dem	SULLIVAN_D_Rep	PERDUE_D_Rep	ERNST_J_Rep	SASSE_B_Rep	TILLIS_T_Rep	ROUNDS_M_Rep	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	KENNEDY_J_Rep	JONES_G_Dem	SMITH_T_Dem	HYDE-SMITH_C_Rep	BRAUN_M_Rep	HAWLEY_J_Rep	ROMNEY_W_Rep	SCOTT_R_Rep	FEINSTEIN_D_Dem	MURRAY_P_Dem	COLLINS_S_Rep	ENZI_M_Rep	SHELBY_R_Rep
121	1.638442	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
122	.010353	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1
123	17.951618	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
124	2.717631	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
125	.34912	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
126	.010408	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
127	.012402	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1
128	.007253	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0
129	23.619055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
130	3.832362	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
131	.009309	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
132	1.586127	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1
133	19.855602	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
134	.036109	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
135	.374327	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
136	.009993	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
137	.659829	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1
138	14.221015	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
139	.385294	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1
140	2.112081	1	0	0	0	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
141	.009551	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
142	.007677	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
143	.007683	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
144	.01403	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
145	.014951	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	1
146	.268017	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	1	0
147	17.240517	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
148	.216179	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
149	25.965996	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
150	6.188723	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
151	4.45601	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	0	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
152	32.389481	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
153	2.517585	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
154	3.686247	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
155	37.409061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
156	11.830717	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
157	2.826726	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
158	.030629	1	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
159	12.602571	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
160	8.934191	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1
161	10.443489	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	0	1	1
162	6.019171	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
163	.219378	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1
164	14.785626	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
165	1.187867	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1
166	5.876779	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1
167	16.984375	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1
168	98.711891	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
169	1.684869	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	0	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
170	16.718494	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
171	12.978894	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
172	1.273183	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
173	17.101696	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
174	.755495	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1
175	5.348648	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1
176	21.843832	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
177	1.633072	1	1	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1
178	5.724643	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1
179	2.18651	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	1	1	1
180	1.628221	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	1	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	1	1	1
181	62.83625	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	1	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1
182	4.866034	1	0	0	1	0	0	1	0	0	0	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	1	1	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	1	1	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1
183	22.46176	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
