Splits	Weights	LEAHY_P_Dem	MARKEY_E_Dem	SCHUMER_C_Dem	WYDEN_R_Dem	CARPER_T_Dem	DURBIN_R_Dem	CARDIN_B_Dem	VAN_HOLLEN_C_Dem	MURPHY_C_Dem	HIRONO_M_Dem	GILLIBRAND_K_Dem	PETERS_G_Dem	HEINRICH_M_Dem	SINEMA_K_Dem	DUCKWORTH_T_Dem	ROSEN_J_Dem	REED_J_Dem	SANDERS_B_Ind	MENENDEZ_R_Dem	BROWN_S_Dem	STABENOW_D_Dem	UDALL_T_Dem	BALDWIN_T_Dem	CANTWELL_M_Dem	KLOBUCHAR_A_Dem	TESTER_J_Dem	CASEY_R_Dem	WHITEHOUSE_S_Dem	SHAHEEN_J_Dem	MERKLEY_J_Dem	WARNER_M_Dem	BENNET_M_Dem	MANCHIN_J_Dem	COONS_C_Dem	BLUMENTHAL_R_Dem	SCHATZ_B_Dem	KING_A_Ind	WARREN_E_Dem	KAINE_T_Dem	BOOKER_C_Dem	CORTEZ_MASTO_C_Dem	HARRIS_K_Dem	HASSAN_M_Dem	JONES_G_Dem	SMITH_T_Dem	FEINSTEIN_D_Dem	MURRAY_P_Dem
52	6.086804	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
53	19.790764	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
54	9.272282	1	0	1	1	1	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
55	29.171776	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
56	3.14029	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
57	9.821745	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
58	9.470295	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
59	56.337063	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
60	16.126589	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
61	13.61544	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
62	18.88245	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	0	1	1	1	1	1
